Timestamp(ms),Current(uA)
0,0.141
10,0.145
20,0.144
30,0.149
40,0.152
50,0.149
60,0.151
70,0.154
80,0.160
90,0.159
100,0.154
110,0.153
120,0.153
130,0.158
140,0.158
150,0.164
160,0.167
170,0.168
180,0.163
190,0.159
200,0.160
210,0.152
220,0.151
230,0.149
240,0.163
250,0.165
260,0.166
270,0.167
280,0.167
290,0.175
300,0.177
310,0.177
320,0.172
330,0.180
340,0.169
350,0.163
360,0.160
370,0.163
380,0.162
390,0.160
400,0.158
410,0.166
420,0.163
430,0.166
440,0.155
450,0.152
460,0.144
470,0.144
480,0.149
490,0.146
500,0.149
510,0.148
520,0.153
530,0.151
540,0.148
550,0.150
560,0.146
570,0.153
580,0.151
590,0.142
600,0.143
610,0.144
620,0.145
630,0.138
640,0.144
650,0.149
660,0.148
670,0.156
680,0.139
690,0.133
700,0.133
710,0.129
720,0.140
730,0.136
740,0.140
750,0.136
760,0.132
770,0.127
780,0.129
790,0.131
800,0.127
810,0.128
820,0.127
830,0.130
840,0.129
850,0.130
860,0.123
870,0.127
880,0.129
890,0.126
900,0.126
910,0.128
920,0.122
930,0.122
940,0.120
950,0.119
960,0.118
970,0.115
980,0.118
990,0.118
1000,0.117
1010,0.118
1020,0.105
1030,0.110
1040,0.114
1050,0.115
1060,0.109
1070,0.116
1080,0.119
1090,0.112
1100,0.111
1110,0.117
1120,0.116
1130,0.115
1140,0.119
1150,0.119
1160,0.113
1170,0.116
1180,0.107
1190,0.107
1200,0.108
1210,0.105
1220,0.102
1230,0.112
1240,0.109
1250,0.102
1260,0.100
1270,0.104
1280,0.110
1290,0.118
1300,0.113
1310,0.113
1320,0.112
1330,0.098
1340,0.099
1350,0.104
1360,0.100
1370,0.099
1380,0.093
1390,0.096
1400,0.114
1410,0.112
1420,0.109
1430,0.106
1440,0.101
1450,0.108
1460,0.111
1470,0.114
1480,0.113
1490,0.114
1500,0.116
1510,0.108
1520,0.107
1530,0.103
1540,0.110
1550,0.114
1560,0.103
1570,0.106
1580,0.105
1590,0.103
1600,0.105
1610,0.098
1620,28593.408
1630,16382.282
1640,11793.826
1650,10116.221
1660,9511.828
1670,9309.876
1680,9266.067
1690,9269.752
1700,9302.742
1710,9342.463
1720,9391.734
1730,9441.335
1740,9493.920
1750,9544.660
1760,9601.344
1770,9654.186
1780,9689.535
1790,9741.201
1800,9799.964
1810,9844.170
1820,9893.864
1830,9952.826
1840,10003.232
1850,10051.431
1860,10102.795
1870,10151.993
1880,10203.083
1890,10247.659
1900,10296.507
1910,10344.403
1920,10387.663
1930,10430.759
1940,10482.788
1950,10535.332
1960,10580.263
1970,10611.362
1980,10663.674
1990,10702.824
2000,10739.498
2010,10774.953
2020,10804.021
2030,10841.546
2040,10881.687
2050,10902.086
2060,10749.151
2070,10699.102
2080,10685.039
2090,10850.479
2100,8098.520
2110,6616.122
2120,6074.761
2130,5867.926
2140,5792.018
2150,5759.596
2160,5741.750
2170,5735.851
2180,5724.625
2190,5723.379
2200,5715.314
2210,5707.393
2220,5702.244
2230,5688.731
2240,5680.665
2250,5574.333
2260,5453.249
2270,5393.189
2280,5353.691
2290,5325.497
2300,5298.385
2310,5274.282
2320,5239.557
2330,5217.083
2340,5175.499
2350,5124.405
2360,5132.692
2370,5097.854
2380,5075.007
2390,4964.167
2400,4999.795
2410,4939.201
2420,4935.421
2430,4913.919
2440,4910.043
2450,4867.988
2460,4884.137
2470,4872.606
2480,4839.711
2490,4833.402
2500,4814.810
2510,4802.638
2520,4775.395
2530,4757.021
2540,4736.092
2550,4718.839
2560,4698.409
2570,4882.866
2580,5687.880
2590,5964.093
2600,4885.376
2610,4276.964
2620,4046.432
2630,3947.556
2640,3899.515
2650,3869.278
2660,3851.695
2670,4254.183
2680,3948.935
2690,4729.146
2700,5982.782
2710,6239.741
2720,5819.250
2730,4672.540
2740,4137.308
2750,4827.308
2760,4929.909
2770,5490.040
2780,4704.896
2790,4007.318
2800,3747.169
2810,3641.056
2820,3597.958
2830,3580.081
2840,3564.252
2850,3551.446
2860,3545.928
2870,3984.163
2880,4120.577
2890,4163.578
2900,4177.846
2910,3894.678
2920,3646.274
2930,3556.012
2940,3520.653
2950,3502.900
2960,3493.710
2970,3488.910
2980,3478.088
2990,3477.541
3000,3474.594
3010,3466.941
3020,3467.274
3030,3465.510
3040,3463.518
3050,3457.573
3060,3452.250
3070,3449.421
3080,3450.470
3090,3454.203
3100,3450.887
3110,3445.210
3120,3443.967
3130,3443.484
3140,3445.067
3150,3443.942
3160,3444.858
3170,3440.691
3180,3442.123
3190,3444.137
3200,3438.783
3210,3437.979
3220,3440.609
3230,3437.987
3240,3437.726
3250,3437.148
3260,3432.252
3270,3432.565
3280,3436.276
3290,3436.211
3300,3439.401
3310,3435.932
3320,3438.022
3330,3435.271
3340,3434.051
3350,3438.242
3360,3439.660
3370,3435.929
3380,3431.210
3390,3430.614
3400,3433.270
3410,3436.434
3420,3433.957
3430,3436.223
3440,3435.616
3450,3439.663
3460,3437.885
3470,3437.089
3480,3437.623
3490,3435.539
3500,3433.080
3510,3436.277
3520,3435.365
3530,3432.327
3540,3433.111
3550,3432.271
3560,3439.645
3570,3436.302
3580,3436.140
3590,3433.620
3600,3437.893
3610,3435.302
3620,3433.036
3630,3433.345
3640,3436.487
3650,3438.674
3660,3435.532
3670,3438.044
3680,3439.283
3690,3439.207
3700,3433.062
3710,3435.939
3720,3440.648
3730,3438.040
3740,3434.112
3750,3430.558
3760,3434.927
3770,3429.941
3780,3427.695
3790,3432.957
3800,3434.627
3810,3432.640
3820,3430.787
3830,3429.359
3840,3435.645
