Timestamp(ms),Current(uA)
0,0.123
10,0.118
20,0.114
30,0.117
40,0.111
50,0.119
60,0.118
70,0.115
80,0.119
90,0.124
100,0.119
110,0.122
120,0.120
130,0.117
140,0.121
150,0.122
160,0.121
170,0.115
180,0.119
190,0.120
200,0.116
210,0.120
220,0.119
230,0.119
240,0.117
250,0.109
260,0.112
270,0.118
280,0.120
290,0.124
300,0.117
310,0.109
320,0.120
330,0.123
340,0.121
350,0.119
360,0.115
370,0.124
380,0.119
390,0.123
400,0.125
410,0.120
420,0.121
430,0.127
440,0.121
450,0.123
460,0.126
470,0.132
480,0.130
490,0.129
500,0.124
510,0.119
520,0.120
530,0.116
540,0.120
550,0.117
560,0.118
570,0.111
580,0.113
590,0.114
600,0.110
610,0.108
620,0.117
630,0.113
640,0.107
650,0.100
660,0.108
670,0.109
680,0.110
690,0.110
700,0.112
710,0.110
720,0.109
730,0.102
740,0.097
750,0.095
760,0.105
770,0.100
780,0.106
790,0.110
800,0.102
810,0.105
820,0.103
830,0.109
840,0.099
850,0.097
860,0.092
870,0.097
880,0.094
890,0.099
900,0.099
910,0.094
920,0.093
930,0.096
940,0.098
950,0.098
960,0.106
970,0.103
980,0.108
990,0.109
1000,0.106
1010,0.107
1020,0.102
1030,0.100
1040,0.096
1050,0.093
1060,0.088
1070,0.088
1080,0.085
1090,0.091
1100,0.093
1110,0.088
1120,0.084
1130,0.080
1140,0.079
1150,0.080
1160,0.082
1170,0.077
1180,0.076
1190,0.080
1200,0.081
1210,0.085
1220,0.087
1230,0.084
1240,0.084
1250,0.085
1260,0.078
1270,0.072
1280,0.082
1290,0.081
1300,0.085
1310,0.082
1320,0.086
1330,0.086
1340,0.092
1350,0.083
1360,0.090
1370,0.090
1380,0.087
1390,0.088
1400,0.080
1410,0.079
1420,0.082
1430,0.080
1440,0.078
1450,0.069
1460,0.069
1470,0.072
1480,0.065
1490,29543.303
1500,16760.762
1510,11962.426
1520,10187.521
1530,9545.364
1540,9319.045
1550,9247.399
1560,9236.163
1570,9253.601
1580,9268.559
1590,9294.688
1600,9328.159
1610,9370.777
1620,9415.798
1630,9446.029
1640,9479.220
1650,9499.119
1660,9525.812
1670,9563.793
1680,9590.525
1690,9626.758
1700,9657.573
1710,9686.227
1720,9715.663
1730,9751.798
1740,9782.756
1750,9814.372
1760,9851.980
1770,9890.740
1780,9928.247
1790,9966.685
1800,9998.152
1810,10045.823
1820,10075.755
1830,10109.326
1840,10138.131
1850,10168.675
1860,10194.797
