Timestamp(ms),Current(uA)
0,0.174
10,0.178
20,0.180
30,0.184
40,0.180
50,0.179
60,0.174
70,0.172
80,0.181
90,0.179
100,0.186
110,0.186
120,0.184
130,0.187
140,0.176
150,0.171
160,0.170
170,0.179
180,0.178
190,0.177
200,0.174
210,0.177
220,0.173
230,0.163
240,0.167
250,0.164
260,0.168
270,0.163
280,0.169
290,0.173
300,0.166
310,0.172
320,0.173
330,0.170
340,0.172
350,0.168
360,0.159
370,0.162
380,0.157
390,0.152
400,0.155
410,0.155
420,0.164
430,0.168
440,0.149
450,0.152
460,0.148
470,0.139
480,0.138
490,0.135
500,0.139
510,0.141
520,0.136
530,0.138
540,0.144
550,0.139
560,0.146
570,0.143
580,0.130
590,0.137
600,0.147
610,0.148
620,0.149
630,0.149
640,0.144
650,0.142
660,0.146
670,0.146
680,0.140
690,0.132
700,0.126
710,0.125
720,0.120
730,0.123
740,0.118
750,0.123
760,0.124
770,0.132
780,0.127
790,0.127
800,0.127
810,0.128
820,0.133
830,0.135
840,0.129
850,0.136
860,0.136
870,0.139
880,0.133
890,0.141
900,0.136
910,0.132
920,0.138
930,0.135
940,0.143
950,0.138
960,0.126
970,0.137
980,0.143
990,0.135
1000,0.134
1010,0.137
1020,0.136
1030,0.134
1040,0.140
1050,0.133
1060,0.132
1070,0.129
1080,0.126
1090,0.126
1100,0.126
1110,0.128
1120,0.135
1130,0.130
1140,0.142
1150,0.139
1160,0.144
1170,0.148
1180,0.137
1190,0.137
1200,0.141
1210,0.149
1220,0.145
1230,0.140
1240,0.141
1250,0.150
1260,0.144
1270,0.149
1280,0.144
1290,0.149
1300,0.149
1310,0.138
1320,0.142
1330,0.145
1340,0.147
1350,0.145
1360,0.148
1370,0.150
1380,0.148
1390,0.151
1400,0.148
1410,0.149
1420,0.149
1430,0.148
1440,0.148
1450,0.152
1460,0.149
1470,0.147
1480,0.150
1490,0.150
1500,0.148
1510,0.142
1520,0.142
1530,0.140
1540,0.151
1550,0.148
1560,0.136
1570,0.134
1580,0.142
1590,0.139
1600,0.134
1610,0.144
1620,0.145
1630,0.142
1640,0.146
1650,0.147
1660,0.148
1670,0.138
1680,0.143
1690,0.143
1700,0.147
1710,0.147
1720,0.149
1730,0.145
1740,0.140
1750,0.147
1760,0.140
1770,0.145
1780,0.142
1790,0.156
1800,0.150
1810,0.161
1820,0.156
1830,0.157
1840,0.163
1850,0.160
1860,0.151
1870,0.150
1880,0.139
1890,0.133
1900,0.136
1910,0.145
1920,0.140
1930,0.143
1940,0.144
1950,0.139
1960,0.143
1970,0.134
1980,0.139
1990,0.138
2000,0.142
2010,0.140
2020,0.150
2030,0.149
2040,0.158
2050,0.152
2060,0.149
2070,0.149
2080,0.155
2090,0.157
2100,0.161
2110,0.164
2120,0.162
2130,0.151
2140,0.143
2150,0.138
2160,0.153
2170,0.147
2180,0.149
2190,0.147
2200,0.154
2210,0.154
2220,0.152
2230,0.147
2240,0.135
2250,0.125
2260,0.124
2270,0.126
2280,0.135
2290,0.141
2300,0.147
2310,0.155
2320,0.152
2330,0.152
2340,0.144
2350,0.139
2360,0.138
2370,0.145
2380,0.153
2390,0.159
2400,0.150
2410,0.142
2420,0.147
2430,0.152
2440,0.155
2450,0.153
2460,0.148
2470,0.153
2480,0.142
2490,0.142
2500,0.147
2510,0.144
2520,0.151
2530,0.150
2540,0.144
2550,0.145
2560,0.145
2570,0.138
2580,0.139
2590,31646.072
2600,17700.459
2610,12335.624
2620,10363.326
2630,9636.394
2640,9393.814
2650,9306.647
2660,9288.174
